subject,topic,level,question,hint
Computer Programming,Variables,low,"Declare and print variables for name, age, and city.","Use print()"
Computer Programming,Variables,low,"Swap two numbers using a third variable.","Use temp variable"
Computer Programming,Variables,low,"Swap two numbers without using a third variable.","Use arithmetic or tuple unpacking"
Computer Programming,Variables,low,"Take user input for name and age and print formatted output.","Use input() and f-string"
Computer Programming,Variables,low,"Find sum, difference, product, and quotient of two variables.","Use + - * / operators"
Computer Programming,Variables,medium,"Demonstrate global and local variables.","Use global keyword"
Computer Programming,Variables,medium,"Take three marks as input and find average.","Use sum() / len()"
Computer Programming,Variables,medium,"Swap values of three variables (a→b, b→c, c→a).","Use multiple assignment"
Computer Programming,Variables,medium,"Check if two variables refer to same object.","Use is operator"
Computer Programming,Variables,medium,"Perform operation based on user choice of operator.","Use if-elif condition"
Computer Programming,Variables,high,"Demonstrate mutable vs immutable variable behavior.","Use list and string examples"
Computer Programming,Variables,high,"Modify a global variable inside a function.","Use global declaration"
Computer Programming,Variables,high,"Create dynamic variable names using globals() or dict.","Use dictionary or globals()"
Computer Programming,Variables,high,"Show effect of default mutable argument in a function.","Use list as default argument"
Computer Programming,Variables,high,"Count total variables defined using globals().","Use len(globals())"
Computer Programming,Data Types,low,"Declare variables of all data types and print their types.","Use type()"
Computer Programming,Data Types,low,"Convert integer to float and vice versa.","Use int(), float()"
Computer Programming,Data Types,low,"Take input for name, age, height and show types.","Use input() and type()"
Computer Programming,Data Types,low,"Concatenate string and integer using typecasting.","Use str() function"
Computer Programming,Data Types,low,"Check if number is integer or float.","Use isinstance()"
Computer Programming,Data Types,medium,"Convert Celsius to Fahrenheit.","Use (c * 9/5) + 32"
Computer Programming,Data Types,medium,"Print only string elements from mixed list.","Use isinstance(x, str)"
Computer Programming,Data Types,medium,"Take marks (int) and name (str) then print formatted.","Use f-string"
Computer Programming,Data Types,medium,"Find ASCII value of character.","Use ord()"
Computer Programming,Data Types,medium,"Convert string '1234' to int and add number.","Use int()"
Computer Programming,Data Types,high,"Perform operations on complex numbers.","Use complex()"
Computer Programming,Data Types,high,"Find data type of each list element.","Loop with type()"
Computer Programming,Data Types,high,"Convert list of strings to integers and find sum.","Use map(int, list)"
Computer Programming,Data Types,high,"Create function that prints variable type dynamically.","Use type() in function"
Computer Programming,Data Types,high,"Accept any input and show data type using eval().","Use eval(input())"
Computer Programming,Operators,low,"Perform addition, subtraction, multiplication, division.","Use arithmetic operators"
Computer Programming,Operators,low,"Demonstrate relational operators.","Use >, <, ==, !="
Computer Programming,Operators,low,"Use logical operators (and, or, not).","Combine conditions"
Computer Programming,Operators,low,"Find remainder and quotient.","Use % and //"
Computer Programming,Operators,low,"Demonstrate assignment operators.","Use += -= etc."
Computer Programming,Operators,medium,"Check if number is even and >10.","Use if n%2==0 and n>10"
Computer Programming,Operators,medium,"Swap two numbers using arithmetic operators.","Use + and -"
Computer Programming,Operators,medium,"Demonstrate bitwise operators.","Use &, |, ^"
Computer Programming,Operators,medium,"Check if number between 10 and 50.","Use if 10<=x<=50"
Computer Programming,Operators,medium,"Create simple calculator.","Use if-elif on operator input"
Computer Programming,Operators,high,"Count number of set bits in number.","Use bit manipulation"
Computer Programming,Operators,high,"Implement power operation without **.","Use loop multiplication"
Computer Programming,Operators,high,"Compare identity and equality.","Use is and =="
Computer Programming,Operators,high,"Find largest of three using ternary operator.","Use nested ternary"
Computer Programming,Operators,high,"Swap numbers using XOR.","Use ^ operator"
Computer Programming,Control Statements,low,"Check if number is positive, negative, zero.","Use if-elif-else"
Computer Programming,Control Statements,low,"Print 1 to 10 using for loop.","Use range(1,11)"
Computer Programming,Control Statements,low,"Sum first 10 natural numbers.","Use loop + variable"
Computer Programming,Control Statements,low,"Print multiplication table.","Use for loop"
Computer Programming,Control Statements,low,"Print even numbers between 1–20.","Use if n%2==0"
Computer Programming,Control Statements,medium,"Find factorial of number using loop.","Use for loop * product"
Computer Programming,Control Statements,medium,"Find largest of three numbers.","Use nested if"
Computer Programming,Control Statements,medium,"Count digits in number.","Use while num>0"
Computer Programming,Control Statements,medium,"Check prime number.","Use for loop from 2 to n"
Computer Programming,Control Statements,medium,"Print Fibonacci sequence.","Use loop and store prev values"
Computer Programming,Control Statements,high,"Print pyramid pattern.","Use nested loops"
Computer Programming,Control Statements,high,"Reverse number using loop.","Use %10 and //10"
Computer Programming,Control Statements,high,"Check palindrome number.","Compare reversed and original"
Computer Programming,Control Statements,high,"Print primes between 1–100.","Loop + prime check"
Computer Programming,Control Statements,high,"Multiplication table 1–10 (nested loop).","Use double for loop"
